,MaxTEMP
120,174
168,191
216,167
408,231
456,235
504,237
552,233
744,221
792,200
840,189
888,194
1080,237
1128,237
1176,237
1224,236
1416,226
1464,236
1512,234
1560,212
1608,232
1656,237
1704,237
1752,237
1944,237
1992,237
2040,237
2088,237
2280,220
2328,237
2376,237
2424,237
2616,235
2664,237
2712,237
2760,237
2952,223
3000,213
3048,234
3096,194
