,MaxTEMP
24,45
72,19
312,39
360,13
648,88
696,48
984,114
1032,81
1320,106
1368,72
1848,109
1896,67
2184,81
2232,49
2520,93
2568,72
2856,100
2904,83
3192,35
3240,25
