,MaxTEMP
10,131
58,0
106,0
154,0
346,216
394,0
442,0
490,36
682,186
730,24
778,68
826,46
970,367
1018,47
1066,129
1114,32
1306,390
1354,340
1402,308
1450,390
1642,390
1690,390
1738,266
1786,277
1978,390
2026,390
2074,245
2122,377
2314,390
2362,390
2410,290
2458,199
