,MaxV
2,195.0
50,170.0
98,134.0
194,244.0
242,204.0
290,187.0
338,174.0
530,215.0
578,209.0
626,216.0
674,217.0
866,219.0
914,220.0
962,222.0
1010,222.0
1202,182.0
1250,166.0
1298,185.0
1346,190.0
1394,236.0
1442,228.0
1490,226.0
1538,214.0
1730,223.0
1778,210.0
1826,220.0
1874,209.0
2066,215.0
2114,202.0
2162,195.0
2210,199.0
2402,216.0
2450,218.0
2498,221.0
2546,206.0
2738,199.0
2786,199.0
2834,213.0
2882,215.0
