,MaxV
24,106
72,126
120,129
312,123
360,132
408,133
456,132
648,125
696,121
744,108
792,145
888,142
936,137
984,128
1032,118
1176,120
1224,116
1272,118
1320,86
1416,130
1464,121
1512,111
1560,114
1752,115
1800,114
1848,129
1896,134
1992,105
2040,119
2088,126
2136,125
2184,137
2232,141
2280,139
2328,134
2520,125
2568,138
2616,129
2664,113
