,MaxTEMP
120,221
168,250
216,247
408,265
456,258
504,249
552,238
744,246
792,244
840,250
888,269
1080,268
1128,265
1176,278
1224,290
1416,299
1464,324
1512,322
1560,327
1608,310
1656,316
1704,315
1752,312
1944,285
1992,299
2040,295
2088,262
2280,217
2328,255
2376,260
2424,256
2616,286
2664,281
2712,284
2760,279
2952,310
3000,298
3048,281
3096,260
