,MaxV
24,108
216,130
264,153
312,149
504,153
552,158
600,158
648,158
744,150
792,144
840,135
888,136
1032,148
1080,147
1128,134
1176,143
1368,142
1416,142
1464,154
1512,157
1560,158
1608,139
1656,140
1704,139
1896,136
1944,145
1992,147
2040,147
2232,158
2280,154
2328,146
2376,145
2568,157
2616,158
2664,158
2712,158
2904,141
2952,145
3000,158
3048,152
