,MaxTEMP
24,369
72,312
120,307
312,178
360,128
408,215
456,218
504,183
552,135
600,102
648,93
840,206
888,183
936,140
984,161
1032,153
1080,114
1128,97
1176,90
1368,195
1416,156
1464,147
1512,144
1560,291
1608,300
1656,314
1704,343
1896,274
1944,245
1992,220
2040,267
2232,326
2280,302
2328,291
2376,294
