,MaxV
24,207
72,208
120,197
312,200
360,190
408,176
456,184
648,206
696,196
744,202
792,185
984,197
1032,220
1080,226
1128,217
1320,171
1368,200
1416,208
1464,208
1656,183
1704,217
1752,227
1800,231
1992,236
2040,236
2088,158
2136,195
2328,208
2376,211
2424,189
2472,187
