,MaxV
24,28
72,23
120,23
216,26
264,25
312,30
360,31
456,33
504,27
552,20
600,31
696,34
744,21
792,24
840,25
1032,19
1080,28
1128,27
1176,29
1320,19
1368,24
1416,24
1464,21
1656,29
1704,32
1752,29
1800,60
1992,30
2040,29
2088,9
2184,39
2232,31
2280,34
2328,32
2520,26
2568,31
2616,31
